ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
8.635848719,204.8904555,20791.31898,7.300211873,368.5164413,564.3086542,10.37978308,86.99097046,2.963135381,0
3.716080075,129.4229205,18630.05786,6.635245884,303.3097712,592.8853591,15.18001312,56.32907628,4.500656275,0
8.099124189,224.2362594,19909.54173,9.275883603,268.6469407,418.6062131,16.86863693,66.42009251,3.05593375,0
8.316765884,214.3733941,22018.41744,8.059332377,356.8861356,363.2665162,18.4365245,100.3416744,4.628770537,0
9.092223456,181.1015092,17978.98634,6.546599974,310.1357375,398.4108134,11.55827944,31.99799273,4.075075425,0
5.584086638,188.3133238,28748.68774,7.544868789,326.6783629,280.4679159,8.39973464,54.91786184,2.559708228,0
10.22386216,248.0717353,28749.71654,7.513408466,393.6633955,283.6516335,13.78969532,84.60355617,2.672988737,0
6.174750579,138.513588,21504.13882,10.860295,338.7030157,447.8054645,14.2419652,31.7059331,2.566048788,1
9.54025224,224.0545823,31683.86459,11.99429022,315.359085,493.836379,19.09359914,81.39372182,3.329503899,1
6.888842932,188.9206706,27368.01434,8.003186613,355.4785627,465.3469791,12.37708331,75.11249354,4.512332449,1
8.174186267,244.2490458,31114.82084,4.726912286,285.3320258,418.6196001,14.87362623,56.46415749,4.709402885,1
8.756926859,218.6377589,21752.02971,6.454876484,276.2781002,356.0757689,15.71314852,67.04963886,2.945671727,1
4.740056688,176.6556313,24069.33591,4.01344441,367.8050161,288.2212976,13.20422003,77.8803755,5.467935706,1
8.764495619,210.851346,15978.03656,8.043354127,328.759844,324.0473755,12.12837684,59.7891627,5.790838006,1
7.899451562,210.7341239,15896.36594,6.907202816,319.8869566,448.6664233,18.16992114,124,2.853767349,1
7.40265315,182.9993814,19259.19394,7.63237016,295.9313733,339.7373044,10.49460921,83.11874197,6.226580405,1
